title,content,tokens
Page 2,WORKMAN PUBLISHING COMPANY • NEW YORK,10
Page 3,"Copyright © 2014 by Austin Kleon All rights reserved.No portion of this book may be reproduced—mechanically, electronically,or by any other means,including photocopying—without written permission of the publisher. Published simultaneously in Canada by Thomas Allen & Son Limited. Library of Congress Cataloging-in-Publication Data Kleon,Austin. Show your work! : 10 ways to share your creativity and get discovered / by Austin Kleon. pages cm ISBN 978-0-7611-7897-2 (alk.paper) 1. Career development.2. Success in business.3. Business networks. I.Title. HF5381.K5854 2014 650.1--dc23 2013046696 ISBN 978-0-7611-7897-2 Workman books are available at special discounts when purchased in bulk for premiums and sales promotions as well as for fund-raising or educational use. Special editions or book excerpts can also be created to specification.For details, contact the Special Sales Director at the address below,or send an email to specialmarkets@workman.com. Workman Publishing Co.,Inc. 225 Varick Street New York,NY 10014-4381 workman.com WORKMAN is a registered trademark of Workman Publishing Co.,Inc. Printed in the United States of America First printing April 2014 10 9 8 7 6 5 4 3 2 1",174
Page 4,FOR MEGHAN,6
Page 5,1 6 30 44 70,9
Page 6,88 110 120 146 158 180,10
Page 7,vi,5
Page 8,vii,5
Page 9,“Creativity is not a talent. It is a way of operating.” —John Cleese,17
Page 10,"When I have the privilege of talking to my readers,the most common questions they ask me are about self- promotion.How do I get my stuff out there? How do I get noticed? How do I find an audience? How did you do it? I hate talking about self-promotion.Comedian Steve Martin famously dodges these questions with the advice, “Be so good they can’t ignore you.”If you just focus on getting really good,Martin says,people will come to you. I happen to agree: You don’t really find an audience for your work; they find you.But it’s not enough to be good. 1",103
Page 11,"In order to be found,you have to be findable.I think there’s an easy way of putting your work out there and making it discoverable while you’re focused on getting really good at what you do. Almost all of the people I look up to and try to steal from today,regardless of their profession,have built sharing into their routine.These people aren’t schmoozing at cocktail parties; they’re too busy for that.They’re cranking away in their studios,their laboratories,or their cubicles,but instead of maintaining absolute secrecy and hoarding their work,they’re open about what they’re working on,and they’re consistently posting bits and pieces of their work, their ideas,and what they’re learning online.Instead of wasting their time “networking,”they’re taking advantage of the network.By generously sharing their ideas and their knowledge,they often gain an audience that they can then leverage when they need it—for fellowship,feedback,or patronage. 2",144
Page 12,"I wanted to create a kind of beginner’s manual for this way of operating,so here’s what I came up with: a book for people who hate the very idea of self-promotion.An alternative,if you will,to self-promotion.I’m going to try to teach you how to think about your work as a never- ending process,how to share your process in a way that attracts people who might be interested in what you do,and how to deal with the ups and downs of putting yourself and your work out in the world.If Steal Like an Artist was a book about stealing influence from other people,this book is about how to influence others by letting them steal from you. Imagine if your next boss didn’t have to read your résumé because he already reads your blog.Imagine being a student and getting your first gig based on a school project you posted online.Imagine losing your job but having a social network of people familiar with your work and ready to help you find a new one.Imagine turning a side project or 3",180
Page 13,4,5
Page 14,"a hobby into your profession because you had a following that could support you. Or imagine something simpler and just as satisfying: spending the majority of your time,energy,and attention practicing a craft,learning a trade,or running a business, while also allowing for the possibility that your work might attract a group of people who share your interests. All you have to do is show your work. 5",70
Page 15,6,5
Page 16,7,5
Page 17,"“Give what you have. To someone, it may be better than you dare to think.” —Henry Wadsworth Longfellow 8",23
Page 18,"There are a lot of destructive myths about creativity,but one of the most dangerous is the “lone genius”myth: An individual with superhuman talents appears out of nowhere at certain points in history,free of influences or precedent, with a direct connection to God or The Muse.When inspiration comes,it strikes like a lightning bolt,a lightbulb switches on in his head,and then he spends the rest of his time toiling away in his studio,shaping this idea into a finished masterpiece that he releases into the world to great fanfare.If you believe in the lone genius myth,creativity is an antisocial act,performed by only a few great figures— mostly dead men with names like Mozart,Einstein,or Picasso.The rest of us are left to stand around and gawk in awe at their achievements. There’s a healthier way of thinking about creativity that the musician Brian Eno refers to as “scenius.”Under this model,great ideas are often birthed by a group of creative individuals—artists,curators,thinkers,theorists,and other 9",161
Page 19,10,5
